iter	Logloss
0	0.6869852468
1	0.6792270154
2	0.6715252226
3	0.6642915589
4	0.6577871014
5	0.6520320849
6	0.6450007094
7	0.6387878559
8	0.6319159243
9	0.6264004816
10	0.6203008469
11	0.6140923679
12	0.609478195
13	0.6041209246
14	0.5978630944
15	0.5916600037
16	0.586390245
17	0.5815168135
18	0.5761028901
19	0.5712000599
20	0.565698343
21	0.5605540822
22	0.5558982439
23	0.5510539968
24	0.5460144328
25	0.5412873022
26	0.5362423538
27	0.5313144406
28	0.5262834949
29	0.5216513612
30	0.5171647944
31	0.5128159414
32	0.5084921669
33	0.5038234675
34	0.4999790685
35	0.4960148125
36	0.4911074061
37	0.4875328669
38	0.4831979316
39	0.4796594597
40	0.4759052482
41	0.4714088971
42	0.4682261593
43	0.4645967066
44	0.4603380028
45	0.4566667892
46	0.4537351601
47	0.4504577258
48	0.4478333034
49	0.4436985795
50	0.4410136969
51	0.4380041662
52	0.4347576013
53	0.4318882805
54	0.4290840615
55	0.4265583863
56	0.4239937332
57	0.4223929122
58	0.4196455047
59	0.4173801062
60	0.4144930552
61	0.4117936666
62	0.4089666988
63	0.4064237641
64	0.4043440308
65	0.4020060386
66	0.3997115305
67	0.3975117543
68	0.395121754
69	0.3922296623
70	0.3894635974
71	0.387533194
72	0.3850770224
73	0.38267821
74	0.3804663154
75	0.3787275326
76	0.3765113517
77	0.3748667063
78	0.3730859403
79	0.3712272339
80	0.3692118805
81	0.3672629906
82	0.3657916458
83	0.3637219922
84	0.3620715691
85	0.3600092399
86	0.3580358162
87	0.356009619
88	0.3541335818
89	0.352208544
90	0.3507169721
91	0.3494936748
92	0.348099204
93	0.3468298986
94	0.3452886865
95	0.3435451064
96	0.34168379
97	0.3401476659
98	0.3383479562
99	0.3366122414
100	0.3350639594
101	0.3335452762
102	0.332157645
103	0.3303864418
104	0.3291172747
105	0.3278838632
106	0.3262755695
107	0.3248094189
108	0.3232491533
109	0.3221551111
110	0.3208067815
111	0.3193858538
112	0.3179588597
113	0.3170425741
114	0.3158342699
115	0.3145802348
116	0.313105164
117	0.3116513223
118	0.3106628876
119	0.3094322989
120	0.308128689
121	0.3073402191
122	0.3063396888
123	0.3052780113
124	0.3045004818
125	0.3033684342
126	0.302612632
127	0.3016098921
128	0.3005286073
129	0.2994099425
130	0.2983453407
131	0.2970585648
132	0.29600701
133	0.2948644872
134	0.2937876969
135	0.2931482184
136	0.2924758473
137	0.2918500308
138	0.2908293751
139	0.2901767515
140	0.2892557089
141	0.2882974339
142	0.2875396327
143	0.2868596765
144	0.2859935439
145	0.2852121452
146	0.2845433437
147	0.2837645317
148	0.2829722614
149	0.2820994274
150	0.2813575963
151	0.2807586165
152	0.2802958395
153	0.279430071
154	0.2786606803
155	0.2779349793
156	0.2771370541
157	0.2768548071
158	0.2763421231
159	0.2758628561
160	0.2752397293
161	0.2743287877
162	0.2737906272
163	0.2733915412
164	0.2729226703
165	0.2723085507
166	0.271832602
167	0.2710140038
168	0.2705070473
169	0.2696244431
170	0.2690989878
171	0.268633868
172	0.2679110597
173	0.2673612151
174	0.266885498
175	0.2663035418
176	0.2657155265
177	0.2651638254
178	0.264655958
179	0.2641008337
180	0.2637883854
181	0.263240826
182	0.262667
183	0.2619420269
184	0.2614111402
185	0.2610362962
186	0.2604527947
187	0.2602618362
188	0.2599246042
189	0.2593916457
190	0.2591110516
191	0.2584592432
192	0.2579492491
193	0.2574586179
194	0.2569764761
195	0.2565013498
196	0.2560186901
197	0.255545376
198	0.2551517856
199	0.2547245887
200	0.2541072722
201	0.2536123323
202	0.2531211007
203	0.252713975
204	0.2523055983
205	0.2518641638
206	0.251473282
207	0.2510594955
208	0.2505840218
209	0.2501374504
210	0.2497041913
211	0.2491464826
212	0.2487144859
213	0.2483126284
214	0.2478646386
215	0.2473485536
216	0.2469682642
217	0.2464768337
218	0.2461700827
219	0.2457167494
220	0.2452016255
221	0.2447336106
222	0.2442225965
223	0.243811144
224	0.2434520476
225	0.2432219123
226	0.2428278401
227	0.2423802351
228	0.2419568839
229	0.2416336231
230	0.2411436954
231	0.2408009439
232	0.2404988512
233	0.2401346819
234	0.2396703698
235	0.2393689002
236	0.2390717016
237	0.2386273534
238	0.2385583156
239	0.2383163992
240	0.2380152082
241	0.2375994865
